PixelFormat,Angle,TargetFps,Width,Height,Samples,Avg,P50,P90,P99,Min,Max,SrcCsv
MJPG,0,20,640,480,29,29.976,29.809,30.795,30.993,28.696,30.993,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot0_fh0_fv0_tfps20_20251106_092413.csv
MJPG,0,25,640,480,29,30.038,29.813,30.771,30.986,29.701,30.986,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot0_fh0_fv0_tfps25_20251106_092448.csv
MJPG,0,30,640,480,29,15.843,15.398,15.997,28.508,14.271,28.508,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot0_fh0_fv0_tfps30_20251106_092523.csv
MJPG,90,20,640,480,29,29.941,29.821,30.825,30.963,28.703,30.963,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot90_fh0_fv0_tfps20_20251106_092558.csv
MJPG,90,25,640,480,29,29.983,29.818,30.788,30.961,28.629,30.961,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot90_fh0_fv0_tfps25_20251106_092633.csv
MJPG,90,30,640,480,29,17.696,15.368,29.783,30.718,14.179,30.718,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot90_fh0_fv0_tfps30_20251106_092708.csv
MJPG,180,20,640,480,29,15.274,15.353,16.091,17.279,13.766,17.279,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot180_fh0_fv0_tfps20_20251106_092743.csv
MJPG,180,25,640,480,29,15.423,15.561,16.306,17.045,14.177,17.045,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot180_fh0_fv0_tfps25_20251106_092818.csv
MJPG,180,30,640,480,29,15.819,15.896,16.760,16.919,14.397,16.919,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot180_fh0_fv0_tfps30_20251106_092853.csv
MJPG,270,20,640,480,29,15.928,15.835,16.563,16.787,14.849,16.787,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot270_fh0_fv0_tfps20_20251106_092928.csv
MJPG,270,25,640,480,29,15.657,15.786,16.523,17.516,14.444,17.516,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot270_fh0_fv0_tfps25_20251106_093003.csv
MJPG,270,30,640,480,29,15.256,15.173,16.058,17.338,13.977,17.338,D:\MyApp\計測\livefps_640x480_pfMJPG_conv1_rot270_fh0_fv0_tfps30_20251106_093039.csv
YUY2,0,20,640,480,29,15.265,15.189,16.302,16.482,14.194,16.482,D:\MyApp\計測\livefps_640x480_pfYUY2_conv1_rot0_fh0_fv0_tfps20_20251106_093114.csv
YUY2,0,25,640,480,29,15.227,15.175,15.997,16.313,14.390,16.313,D:\MyApp\計測\livefps_640x480_pfYUY2_conv1_rot0_fh0_fv0_tfps25_20251106_093149.csv
YUY2,0,30,640,480,29,15.243,15.113,16.286,16.556,13.989,16.556,D:\MyApp\計測\livefps_640x480_pfYUY2_conv1_rot0_fh0_fv0_tfps30_20251106_093224.csv
YUY2,90,20,640,480,29,15.378,15.367,16.516,17.273,14.379,17.273,D:\MyApp\計測\livefps_640x480_pfYUY2_conv1_rot90_fh0_fv0_tfps20_20251106_093259.csv
