PixelFormat,Angle,TargetFps,Width,Height,Samples,Avg,P50,P90,P99,Min,Max,SrcCsv
MJPG,0,20,1280,720,29,29.980,29.830,30.868,30.999,28.618,30.999,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot0_fh0_fv0_tfps20_20251106_091616.csv
MJPG,0,25,1280,720,29,17.166,15.644,18.948,30.801,14.427,30.801,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot0_fh0_fv0_tfps25_20251106_091651.csv
MJPG,0,30,1280,720,29,15.067,14.990,15.822,15.930,14.089,15.930,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot0_fh0_fv0_tfps30_20251106_091726.csv
MJPG,90,20,1280,720,29,15.041,14.852,16.008,16.050,13.944,16.050,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot90_fh0_fv0_tfps20_20251106_091801.csv
MJPG,90,25,1280,720,29,15.445,15.346,16.386,17.564,14.327,17.564,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot90_fh0_fv0_tfps25_20251106_091836.csv
MJPG,90,30,1280,720,29,15.082,15.116,16.089,16.522,13.967,16.522,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot90_fh0_fv0_tfps30_20251106_091911.csv
MJPG,180,20,1280,720,29,15.167,15.143,15.912,16.691,14.204,16.691,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot180_fh0_fv0_tfps20_20251106_091946.csv
MJPG,180,25,1280,720,29,14.927,14.870,15.618,16.526,13.969,16.526,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot180_fh0_fv0_tfps25_20251106_092021.csv
MJPG,180,30,1280,720,29,14.755,14.645,15.474,15.969,14.088,15.969,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot180_fh0_fv0_tfps30_20251106_092056.csv
MJPG,270,20,1280,720,29,14.847,14.819,15.435,15.655,14.197,15.655,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot270_fh0_fv0_tfps20_20251106_092131.csv
MJPG,270,25,1280,720,29,14.926,14.680,15.657,16.400,14.167,16.400,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot270_fh0_fv0_tfps25_20251106_092206.csv
MJPG,270,30,1280,720,29,14.734,14.641,15.338,15.637,13.984,15.637,D:\MyApp\計測\livefps_1280x720_pfMJPG_conv1_rot270_fh0_fv0_tfps30_20251106_092241.csv
YUY2,0,20,1280,720,29,14.624,14.601,14.879,15.513,14.015,15.513,D:\MyApp\計測\livefps_1280x720_pfYUY2_conv1_rot0_fh0_fv0_tfps20_20251106_092316.csv
